supplier_id,supplier_name,supplier_type,avg_lead_time_days,on_time_rate,fill_rate,quality_rate
SUP001,Supplier 01,Regional,5,0.961,0.974,0.942
SUP002,Supplier 02,Local,11,0.909,0.967,0.856
SUP003,Supplier 03,National,1,0.952,0.975,0.863
SUP004,Supplier 04,National,6,0.967,0.933,0.869
SUP005,Supplier 05,Regional,6,0.948,0.989,0.966
SUP006,Supplier 06,National,14,0.985,0.993,0.891
SUP007,Supplier 07,National,13,0.91,0.992,0.87
SUP008,Supplier 08,Local,14,0.961,0.971,0.906
SUP009,Supplier 09,Regional,6,0.908,0.95,0.887
SUP010,Supplier 10,Local,8,0.933,0.976,0.887
SUP011,Retail Supply Partner 11,distributor,1,0.957,0.873,0.958
SUP012,Retail Supply Partner 12,wholesaler,3,0.935,0.951,0.965
SUP013,Retail Supply Partner 13,manufacturer,7,0.864,0.938,0.946
SUP014,Retail Supply Partner 14,wholesaler,1,0.926,0.895,0.847
SUP015,Retail Supply Partner 15,wholesaler,4,0.894,0.931,0.929
SUP016,Retail Supply Partner 16,manufacturer,4,0.965,0.875,0.869
SUP017,Retail Supply Partner 17,wholesaler,3,0.944,0.941,0.855
SUP018,Retail Supply Partner 18,wholesaler,6,0.943,0.958,0.833
SUP019,Retail Supply Partner 19,distributor,2,0.963,0.973,0.855
