product_id,supplier_id,unit_cost,lead_time_days,moq,supplier_product_reliability
P0001,SUP006,4.13,8,5,0.943
P0001,SUP002,4.44,6,10,0.947
P0002,SUP008,11.4,1,5,0.896
P0002,SUP005,12.85,2,10,0.983
P0002,SUP007,11.47,8,20,0.951
P0003,SUP009,8.16,11,5,0.975
P0003,SUP007,7.56,5,5,0.954
P0003,SUP003,6.69,8,10,0.978
P0004,SUP006,18.63,11,20,0.859
P0005,SUP004,1.84,14,50,0.864
P0005,SUP002,1.48,11,5,0.858
P0006,SUP004,22.74,4,5,0.974
P0006,SUP003,21.28,10,10,0.972
P0007,SUP006,12.8,13,5,0.892
P0008,SUP003,7.15,13,10,0.866
P0009,SUP003,3.35,13,10,0.938
P0010,SUP003,11.7,3,50,0.929
P0011,SUP002,16.36,9,5,0.918
P0011,SUP008,13.84,10,5,0.959
P0011,SUP009,16.95,11,20,0.919
P0012,SUP001,8.84,14,50,0.914
P0013,SUP008,13.76,8,5,0.985
P0014,SUP010,2.82,5,20,0.907
P0014,SUP003,3.33,5,50,0.926
P0015,SUP002,21.3,11,10,0.915
P0015,SUP010,21.5,7,20,0.974
P0016,SUP007,5.12,6,20,0.906
P0016,SUP002,4.86,8,5,0.864
P0017,SUP002,8.6,12,20,0.972
P0018,SUP001,2.35,7,20,0.981
P0018,SUP009,2.54,7,5,0.995
P0018,SUP006,2.31,6,5,0.937
P0019,SUP003,21.23,4,5,0.903
P0020,SUP006,16.88,13,50,0.977
P0020,SUP002,18.86,14,5,0.941
P0020,SUP005,17.29,12,20,0.854
P0021,SUP005,10.98,3,10,0.935
P0021,SUP006,11.15,3,5,0.864
P0022,SUP004,24.63,3,20,0.897
P0022,SUP007,23.66,10,5,0.983
P0022,SUP009,22.4,13,5,0.951
P0023,SUP008,4.51,8,50,0.891
P0023,SUP007,4.88,2,20,0.914
P0024,SUP010,18.25,5,5,0.883
P0024,SUP008,20.73,1,5,0.881
P0025,SUP003,15.98,5,20,0.868
P0026,SUP007,19.21,9,10,0.925
P0026,SUP003,23.77,13,20,0.861
P0027,SUP001,14.62,2,20,0.936
P0027,SUP007,15.13,12,50,0.893
P0027,SUP010,14.38,6,10,0.97
P0028,SUP008,16.64,2,10,0.915
P0028,SUP006,16.45,2,50,0.981
P0028,SUP002,18.21,4,20,0.967
P0029,SUP009,24.29,9,10,0.986
P0030,SUP006,18.9,3,20,0.88
P0030,SUP003,21.15,13,5,0.877
P0031,SUP008,16.15,10,20,0.98
P0031,SUP010,15.9,3,50,0.86
P0031,SUP009,15.05,5,20,0.939
P0032,SUP009,1.49,8,5,0.859
P0032,SUP002,1.74,2,5,0.942
P0033,SUP007,2.3,13,10,0.898
P0033,SUP008,2.32,3,5,0.918
P0033,SUP001,2.56,14,20,0.997
P0034,SUP009,9.84,1,10,0.956
P0035,SUP009,22.89,6,20,0.988
P0035,SUP010,21.41,13,20,0.952
P0036,SUP006,16.13,2,50,0.893
P0037,SUP010,4.71,11,10,0.988
P0037,SUP003,5.08,11,50,0.869
P0037,SUP006,5.73,2,20,0.934
P0038,SUP006,7.65,7,20,0.853
P0038,SUP003,6.91,4,20,0.992
P0038,SUP002,7.3,4,10,0.873
P0039,SUP002,3.6,14,5,0.949
P0039,SUP009,3.71,10,10,0.94
P0040,SUP003,13.88,12,10,0.958
P0041,SUP007,17.39,12,10,0.995
P0042,SUP005,21.5,5,50,0.986
P0042,SUP008,19.33,11,50,0.919
P0042,SUP004,19.89,7,50,0.995
P0043,SUP010,3.23,5,5,0.946
P0044,SUP009,6.01,9,5,0.893
P0044,SUP002,6.1,5,50,0.986
P0045,SUP007,4.09,4,50,0.983
P0046,SUP007,3.56,9,20,0.885
P0047,SUP006,5.94,6,5,0.976
P0048,SUP006,5.69,14,50,0.954
P0048,SUP003,5.89,12,50,0.917
P0048,SUP009,5.63,2,5,0.888
P0049,SUP009,12.41,10,50,0.867
P0050,SUP004,5.64,4,50,0.946
P0050,SUP005,6.59,2,5,0.976
P0051,SUP010,3.59,9,10,0.958
P0051,SUP009,3.94,1,20,0.886
P0052,SUP003,2.04,6,5,0.993
P0052,SUP002,2.06,13,5,0.909
P0053,SUP001,24.5,5,5,0.904
P0053,SUP007,18.63,4,5,0.966
P0054,SUP006,8.35,6,10,0.975
P0054,SUP003,9.22,12,50,0.945
P0054,SUP001,9.56,2,50,0.856
P0055,SUP001,11.96,1,20,0.99
P0056,SUP007,17.73,13,10,0.893
P0056,SUP009,21.23,1,20,0.891
P0056,SUP008,20.87,7,50,0.961
P0057,SUP006,16.41,8,20,0.989
P0057,SUP003,16.53,13,5,0.959
P0058,SUP007,12.47,14,10,0.932
P0059,SUP002,17.17,5,20,0.917
P0059,SUP010,19.28,3,50,0.903
P0060,SUP006,5.54,7,20,0.946
P0061,SUP002,14.25,7,20,0.927
P0062,SUP003,17.75,11,50,0.855
P0062,SUP001,13.98,13,20,0.904
P0062,SUP010,18.24,1,10,0.952
P0063,SUP006,22.37,10,10,0.929
P0063,SUP008,20.1,11,20,0.887
P0064,SUP001,1.28,8,50,0.987
P0065,SUP005,0.81,12,50,0.882
P0066,SUP005,17.67,14,5,0.918
P0066,SUP008,22.31,8,5,0.972
P0066,SUP004,22.73,6,20,0.956
P0067,SUP009,14.93,12,10,0.969
P0067,SUP005,13.55,2,10,0.969
P0067,SUP010,12.44,8,5,0.904
P0068,SUP006,3.58,2,5,0.896
P0068,SUP008,3.98,12,50,0.929
P0068,SUP003,3.74,14,5,0.869
P0069,SUP002,7.68,9,20,0.869
P0069,SUP008,8.53,9,10,0.965
P0070,SUP007,7.67,14,5,0.975
P0071,SUP003,10.15,12,10,0.902
P0071,SUP005,12.78,5,5,0.888
P0071,SUP010,11.75,9,20,0.869
P0072,SUP010,13.98,11,10,0.939
P0072,SUP009,16.31,3,20,0.976
P0073,SUP001,8.48,11,20,0.948
P0073,SUP010,10.61,7,5,0.925
P0073,SUP002,10.19,5,20,0.922
P0074,SUP007,4.94,1,10,0.916
P0074,SUP005,5.64,4,20,0.941
P0074,SUP008,5.35,12,20,0.96
P0075,SUP007,18.75,9,5,0.898
P0075,SUP003,17.22,5,50,0.887
P0076,SUP001,5.83,7,50,0.887
P0077,SUP006,2.54,12,20,0.878
P0078,SUP008,14.66,8,50,0.982
P0079,SUP001,6.93,9,50,0.995
P0079,SUP002,5.59,6,5,0.858
P0080,SUP010,12.36,1,5,0.915
P0080,SUP008,14.73,12,20,0.965
P0081,SUP001,7.5,9,10,0.904
P0081,SUP007,8.12,7,50,0.965
P0082,SUP010,2.36,2,50,0.906
P0082,SUP002,3.05,9,20,0.963
P0083,SUP010,5.11,9,5,0.857
P0084,SUP006,24.09,9,50,0.872
P0085,SUP003,5.4,10,20,0.939
P0085,SUP006,6.02,9,50,0.956
P0085,SUP009,5.65,14,5,0.905
P0086,SUP002,22.82,12,5,0.94
P0086,SUP007,19.48,11,10,0.958
P0086,SUP005,21.47,3,50,0.872
P0087,SUP004,20.0,8,20,0.913
P0087,SUP001,21.46,4,50,0.925
P0087,SUP002,22.78,8,5,0.956
P0088,SUP004,16.91,8,50,0.897
P0088,SUP009,13.27,9,20,0.932
P0088,SUP006,15.49,14,20,0.942
P0089,SUP004,10.89,5,10,0.991
P0090,SUP005,12.78,8,20,0.922
P0090,SUP004,12.31,13,20,0.893
P0091,SUP009,26.46,13,10,0.894
P0091,SUP007,22.61,12,5,0.902
P0091,SUP010,23.73,5,50,0.882
P0092,SUP005,21.62,10,10,0.886
P0092,SUP009,25.5,9,10,0.946
P0092,SUP010,21.0,7,20,0.958
P0093,SUP003,18.35,9,10,0.911
P0094,SUP008,2.92,5,20,0.893
P0094,SUP004,2.35,13,5,0.948
P0095,SUP009,8.24,14,5,0.987
P0096,SUP007,24.34,3,5,1.0
P0097,SUP008,19.05,14,20,0.982
P0097,SUP003,14.36,10,5,0.989
P0098,SUP005,8.98,9,50,0.983
P0098,SUP008,6.97,9,50,0.891
P0099,SUP006,5.67,8,20,0.958
P0100,SUP006,15.62,10,10,0.876
P0004,SUP002,20.04,10,15,0.79
P0007,SUP005,11.9,6,59,0.798
P0008,SUP020,7.71,4,45,0.923
P0009,SUP004,3.95,7,61,0.814
P0010,SUP002,13.43,10,85,0.978
P0012,SUP008,7.87,15,23,0.939
P0013,SUP004,12.62,8,13,0.791
P0017,SUP009,9.69,7,12,0.828
P0019,SUP015,17.91,6,31,0.956
P0025,SUP016,15.43,3,70,0.976
P0029,SUP004,25.11,8,84,0.874
P0034,SUP004,9.9,6,44,0.784
P0036,SUP012,19.05,4,32,0.89
P0040,SUP001,14.57,5,81,0.953
P0041,SUP016,17.03,6,35,0.943
P0043,SUP012,3.96,4,71,0.98
P0045,SUP019,4.52,2,76,0.965
P0046,SUP003,4.22,3,50,0.799
P0047,SUP011,6.82,1,62,0.875
P0049,SUP018,10.8,7,28,0.813
P0055,SUP014,11.79,3,41,0.81
P0058,SUP016,13.35,4,12,0.898
P0060,SUP013,5.17,9,60,0.8
P0061,SUP013,13.71,7,24,0.792
P0064,SUP006,1.12,16,86,0.799
P0065,SUP020,0.71,5,34,0.966
P0070,SUP006,7.99,14,83,0.988
P0076,SUP002,5.82,12,15,0.84
P0077,SUP020,2.05,4,70,0.846
P0078,SUP003,12.92,1,23,0.982
P0083,SUP012,5.57,4,74,0.825
P0084,SUP018,20.66,5,87,0.791
P0089,SUP016,11.56,3,96,0.954
P0093,SUP004,23.76,8,53,0.965
P0095,SUP008,7.23,13,79,0.808
P0096,SUP002,20.32,11,53,0.931
P0099,SUP019,7.02,2,84,0.922
P0100,SUP002,13.57,10,23,0.821
P0101,SUP003,78.02,2,70,0.798
P0101,SUP009,88.25,8,92,0.989
P0102,SUP017,134.74,5,10,0.911
P0102,SUP016,148.67,4,25,0.947
P0103,SUP011,73.57,3,64,0.85
P0103,SUP003,76.68,1,99,0.817
P0104,SUP004,306.55,8,17,0.834
P0104,SUP005,330.32,7,40,0.818
P0105,SUP002,202.25,12,55,0.79
P0105,SUP006,193.29,14,53,0.789
P0106,SUP017,118.46,5,62,0.95
P0106,SUP013,100.01,8,94,0.947
P0107,SUP007,150.81,13,47,0.959
P0107,SUP015,147.62,6,55,0.951
P0108,SUP003,131.59,2,12,0.839
P0108,SUP009,139.85,5,13,0.782
P0109,SUP013,180.96,9,13,0.874
P0109,SUP015,160.1,4,79,0.836
P0110,SUP010,269.89,9,54,0.853
P0110,SUP006,250.8,14,86,0.901
P0111,SUP015,320.41,3,45,0.849
P0111,SUP012,342.25,2,13,0.928
P0112,SUP004,129.44,5,55,0.949
P0112,SUP003,120.92,1,46,0.835
P0113,SUP010,93.87,8,18,0.97
P0113,SUP002,105.99,11,60,0.873
P0114,SUP013,205.6,9,49,0.96
P0114,SUP008,194.0,16,40,0.941
P0115,SUP007,176.96,15,74,0.968
P0115,SUP013,185.5,8,90,0.832
P0116,SUP019,175.36,3,72,0.858
