date,year,month,day,day_of_week,week_of_year,is_weekend,is_payday,quarter
2025-01-01,2025,1,1,2,1,False,True,Q1
2025-01-02,2025,1,2,3,1,False,False,Q1
2025-01-03,2025,1,3,4,1,False,False,Q1
2025-01-04,2025,1,4,5,1,True,False,Q1
2025-01-05,2025,1,5,6,1,True,False,Q1
2025-01-06,2025,1,6,0,2,False,False,Q1
2025-01-07,2025,1,7,1,2,False,False,Q1
2025-01-08,2025,1,8,2,2,False,False,Q1
2025-01-09,2025,1,9,3,2,False,False,Q1
2025-01-10,2025,1,10,4,2,False,False,Q1
2025-01-11,2025,1,11,5,2,True,False,Q1
2025-01-12,2025,1,12,6,2,True,False,Q1
2025-01-13,2025,1,13,0,3,False,False,Q1
2025-01-14,2025,1,14,1,3,False,False,Q1
2025-01-15,2025,1,15,2,3,False,True,Q1
2025-01-16,2025,1,16,3,3,False,False,Q1
2025-01-17,2025,1,17,4,3,False,False,Q1
2025-01-18,2025,1,18,5,3,True,False,Q1
2025-01-19,2025,1,19,6,3,True,False,Q1
2025-01-20,2025,1,20,0,4,False,False,Q1
2025-01-21,2025,1,21,1,4,False,False,Q1
2025-01-22,2025,1,22,2,4,False,False,Q1
2025-01-23,2025,1,23,3,4,False,False,Q1
2025-01-24,2025,1,24,4,4,False,False,Q1
2025-01-25,2025,1,25,5,4,True,False,Q1
2025-01-26,2025,1,26,6,4,True,False,Q1
2025-01-27,2025,1,27,0,5,False,False,Q1
2025-01-28,2025,1,28,1,5,False,False,Q1
2025-01-29,2025,1,29,2,5,False,False,Q1
2025-01-30,2025,1,30,3,5,False,False,Q1
2025-01-31,2025,1,31,4,5,False,False,Q1
2025-02-01,2025,2,1,5,5,True,True,Q1
2025-02-02,2025,2,2,6,5,True,False,Q1
2025-02-03,2025,2,3,0,6,False,False,Q1
2025-02-04,2025,2,4,1,6,False,False,Q1
2025-02-05,2025,2,5,2,6,False,False,Q1
2025-02-06,2025,2,6,3,6,False,False,Q1
2025-02-07,2025,2,7,4,6,False,False,Q1
2025-02-08,2025,2,8,5,6,True,False,Q1
2025-02-09,2025,2,9,6,6,True,False,Q1
2025-02-10,2025,2,10,0,7,False,False,Q1
2025-02-11,2025,2,11,1,7,False,False,Q1
2025-02-12,2025,2,12,2,7,False,False,Q1
2025-02-13,2025,2,13,3,7,False,False,Q1
2025-02-14,2025,2,14,4,7,False,False,Q1
2025-02-15,2025,2,15,5,7,True,True,Q1
2025-02-16,2025,2,16,6,7,True,False,Q1
2025-02-17,2025,2,17,0,8,False,False,Q1
2025-02-18,2025,2,18,1,8,False,False,Q1
2025-02-19,2025,2,19,2,8,False,False,Q1
2025-02-20,2025,2,20,3,8,False,False,Q1
2025-02-21,2025,2,21,4,8,False,False,Q1
2025-02-22,2025,2,22,5,8,True,False,Q1
2025-02-23,2025,2,23,6,8,True,False,Q1
2025-02-24,2025,2,24,0,9,False,False,Q1
2025-02-25,2025,2,25,1,9,False,False,Q1
2025-02-26,2025,2,26,2,9,False,False,Q1
2025-02-27,2025,2,27,3,9,False,False,Q1
2025-02-28,2025,2,28,4,9,False,False,Q1
2025-03-01,2025,3,1,5,9,True,True,Q1
2025-03-02,2025,3,2,6,9,True,False,Q1
2025-03-03,2025,3,3,0,10,False,False,Q1
2025-03-04,2025,3,4,1,10,False,False,Q1
2025-03-05,2025,3,5,2,10,False,False,Q1
2025-03-06,2025,3,6,3,10,False,False,Q1
2025-03-07,2025,3,7,4,10,False,False,Q1
2025-03-08,2025,3,8,5,10,True,False,Q1
2025-03-09,2025,3,9,6,10,True,False,Q1
2025-03-10,2025,3,10,0,11,False,False,Q1
2025-03-11,2025,3,11,1,11,False,False,Q1
2025-03-12,2025,3,12,2,11,False,False,Q1
2025-03-13,2025,3,13,3,11,False,False,Q1
2025-03-14,2025,3,14,4,11,False,False,Q1
2025-03-15,2025,3,15,5,11,True,True,Q1
2025-03-16,2025,3,16,6,11,True,False,Q1
2025-03-17,2025,3,17,0,12,False,False,Q1
2025-03-18,2025,3,18,1,12,False,False,Q1
2025-03-19,2025,3,19,2,12,False,False,Q1
2025-03-20,2025,3,20,3,12,False,False,Q1
2025-03-21,2025,3,21,4,12,False,False,Q1
2025-03-22,2025,3,22,5,12,True,False,Q1
2025-03-23,2025,3,23,6,12,True,False,Q1
2025-03-24,2025,3,24,0,13,False,False,Q1
2025-03-25,2025,3,25,1,13,False,False,Q1
2025-03-26,2025,3,26,2,13,False,False,Q1
2025-03-27,2025,3,27,3,13,False,False,Q1
2025-03-28,2025,3,28,4,13,False,False,Q1
2025-03-29,2025,3,29,5,13,True,False,Q1
2025-03-30,2025,3,30,6,13,True,False,Q1
2025-03-31,2025,3,31,0,14,False,False,Q1
2025-04-01,2025,4,1,1,14,False,True,Q2
2025-04-02,2025,4,2,2,14,False,False,Q2
2025-04-03,2025,4,3,3,14,False,False,Q2
2025-04-04,2025,4,4,4,14,False,False,Q2
2025-04-05,2025,4,5,5,14,True,False,Q2
2025-04-06,2025,4,6,6,14,True,False,Q2
2025-04-07,2025,4,7,0,15,False,False,Q2
2025-04-08,2025,4,8,1,15,False,False,Q2
2025-04-09,2025,4,9,2,15,False,False,Q2
2025-04-10,2025,4,10,3,15,False,False,Q2
2025-04-11,2025,4,11,4,15,False,False,Q2
2025-04-12,2025,4,12,5,15,True,False,Q2
2025-04-13,2025,4,13,6,15,True,False,Q2
2025-04-14,2025,4,14,0,16,False,False,Q2
2025-04-15,2025,4,15,1,16,False,True,Q2
2025-04-16,2025,4,16,2,16,False,False,Q2
2025-04-17,2025,4,17,3,16,False,False,Q2
2025-04-18,2025,4,18,4,16,False,False,Q2
2025-04-19,2025,4,19,5,16,True,False,Q2
2025-04-20,2025,4,20,6,16,True,False,Q2
2025-04-21,2025,4,21,0,17,False,False,Q2
2025-04-22,2025,4,22,1,17,False,False,Q2
2025-04-23,2025,4,23,2,17,False,False,Q2
2025-04-24,2025,4,24,3,17,False,False,Q2
2025-04-25,2025,4,25,4,17,False,False,Q2
2025-04-26,2025,4,26,5,17,True,False,Q2
2025-04-27,2025,4,27,6,17,True,False,Q2
2025-04-28,2025,4,28,0,18,False,False,Q2
2025-04-29,2025,4,29,1,18,False,False,Q2
2025-04-30,2025,4,30,2,18,False,False,Q2
2025-05-01,2025,5,1,3,18,False,True,Q2
2025-05-02,2025,5,2,4,18,False,False,Q2
2025-05-03,2025,5,3,5,18,True,False,Q2
2025-05-04,2025,5,4,6,18,True,False,Q2
2025-05-05,2025,5,5,0,19,False,False,Q2
2025-05-06,2025,5,6,1,19,False,False,Q2
2025-05-07,2025,5,7,2,19,False,False,Q2
2025-05-08,2025,5,8,3,19,False,False,Q2
2025-05-09,2025,5,9,4,19,False,False,Q2
2025-05-10,2025,5,10,5,19,True,False,Q2
2025-05-11,2025,5,11,6,19,True,False,Q2
2025-05-12,2025,5,12,0,20,False,False,Q2
2025-05-13,2025,5,13,1,20,False,False,Q2
2025-05-14,2025,5,14,2,20,False,False,Q2
2025-05-15,2025,5,15,3,20,False,True,Q2
2025-05-16,2025,5,16,4,20,False,False,Q2
2025-05-17,2025,5,17,5,20,True,False,Q2
2025-05-18,2025,5,18,6,20,True,False,Q2
2025-05-19,2025,5,19,0,21,False,False,Q2
2025-05-20,2025,5,20,1,21,False,False,Q2
2025-05-21,2025,5,21,2,21,False,False,Q2
2025-05-22,2025,5,22,3,21,False,False,Q2
2025-05-23,2025,5,23,4,21,False,False,Q2
2025-05-24,2025,5,24,5,21,True,False,Q2
2025-05-25,2025,5,25,6,21,True,False,Q2
2025-05-26,2025,5,26,0,22,False,False,Q2
2025-05-27,2025,5,27,1,22,False,False,Q2
2025-05-28,2025,5,28,2,22,False,False,Q2
2025-05-29,2025,5,29,3,22,False,False,Q2
2025-05-30,2025,5,30,4,22,False,False,Q2
2025-05-31,2025,5,31,5,22,True,False,Q2
2025-06-01,2025,6,1,6,22,True,True,Q2
2025-06-02,2025,6,2,0,23,False,False,Q2
2025-06-03,2025,6,3,1,23,False,False,Q2
2025-06-04,2025,6,4,2,23,False,False,Q2
2025-06-05,2025,6,5,3,23,False,False,Q2
2025-06-06,2025,6,6,4,23,False,False,Q2
2025-06-07,2025,6,7,5,23,True,False,Q2
2025-06-08,2025,6,8,6,23,True,False,Q2
2025-06-09,2025,6,9,0,24,False,False,Q2
2025-06-10,2025,6,10,1,24,False,False,Q2
2025-06-11,2025,6,11,2,24,False,False,Q2
2025-06-12,2025,6,12,3,24,False,False,Q2
2025-06-13,2025,6,13,4,24,False,False,Q2
2025-06-14,2025,6,14,5,24,True,False,Q2
2025-06-15,2025,6,15,6,24,True,True,Q2
2025-06-16,2025,6,16,0,25,False,False,Q2
2025-06-17,2025,6,17,1,25,False,False,Q2
2025-06-18,2025,6,18,2,25,False,False,Q2
2025-06-19,2025,6,19,3,25,False,False,Q2
2025-06-20,2025,6,20,4,25,False,False,Q2
2025-06-21,2025,6,21,5,25,True,False,Q2
2025-06-22,2025,6,22,6,25,True,False,Q2
2025-06-23,2025,6,23,0,26,False,False,Q2
2025-06-24,2025,6,24,1,26,False,False,Q2
2025-06-25,2025,6,25,2,26,False,False,Q2
2025-06-26,2025,6,26,3,26,False,False,Q2
2025-06-27,2025,6,27,4,26,False,False,Q2
2025-06-28,2025,6,28,5,26,True,False,Q2
2025-06-29,2025,6,29,6,26,True,False,Q2
2025-06-30,2025,6,30,0,27,False,False,Q2
