promotion_id,product_id,store_id,start_date,end_date,promotion_type,discount_rate
PR0001,P0082,S04,2025-08-07,2025-08-15,Discount,0.17
PR0002,P0013,S02,2025-03-13,2025-03-23,Bundle,0.331
PR0003,P0001,S03,2025-07-16,2025-07-22,Display,0.276
PR0004,P0043,S03,2025-10-26,2025-10-29,Bundle,0.246
PR0005,P0089,S02,2025-02-01,2025-02-05,Display,0.142
PR0006,P0052,S05,2025-06-09,2025-06-13,Bundle,0.16
PR0007,P0029,S02,2025-03-10,2025-03-20,Buy1Get1,0.186
PR0008,P0078,S03,2025-08-01,2025-08-11,Buy1Get1,0.279
PR0009,P0088,S05,2025-02-11,2025-02-21,Bundle,0.073
PR0010,P0073,S01,2025-02-01,2025-02-07,Buy1Get1,0.099
PR0011,P0067,S04,2025-03-01,2025-03-07,Display,0.077
PR0012,P0066,S04,2025-01-29,2025-02-08,Buy1Get1,0.204
PR0013,P0059,S05,2025-01-30,2025-02-09,Bundle,0.267
PR0014,P0051,S03,2025-01-02,2025-01-08,Discount,0.064
PR0015,P0045,S01,2025-10-05,2025-10-08,Discount,0.346
PR0016,P0061,S01,2025-05-27,2025-06-05,Buy1Get1,0.281
PR0017,P0099,S04,2025-07-11,2025-07-20,Display,0.311
PR0018,P0049,S04,2025-02-11,2025-02-16,Bundle,0.086
PR0019,P0069,S04,2025-09-28,2025-10-03,Buy1Get1,0.3
PR0020,P0097,S01,2025-06-02,2025-06-12,Display,0.21
PR0021,P0030,S02,2025-08-24,2025-09-01,Buy1Get1,0.133
PR0022,P0093,S01,2025-01-17,2025-01-26,Discount,0.122
PR0023,P0009,S01,2025-11-01,2025-11-04,Display,0.229
PR0024,P0091,S01,2025-05-06,2025-05-09,Display,0.182
PR0025,P0070,S02,2025-01-29,2025-02-03,Bundle,0.12
PR0026,P0094,S05,2025-06-13,2025-06-21,Buy1Get1,0.141
PR0027,P0019,S05,2025-04-24,2025-05-03,Bundle,0.133
PR0028,P0072,S05,2025-03-31,2025-04-09,Display,0.064
PR0029,P0045,S04,2025-09-26,2025-10-04,Display,0.172
PR0030,P0039,S04,2025-04-05,2025-04-15,Buy1Get1,0.305
PR0031,P0039,S02,2025-08-26,2025-08-29,Display,0.34
PR0032,P0072,S05,2025-03-10,2025-03-19,Buy1Get1,0.126
PR0033,P0043,S01,2025-08-19,2025-08-27,Discount,0.211
PR0034,P0025,S01,2025-05-18,2025-05-27,Discount,0.312
PR0035,P0025,S05,2025-12-10,2025-12-16,Display,0.113
PR0036,P0043,S03,2025-01-08,2025-01-14,Buy1Get1,0.339
PR0037,P0016,S04,2025-05-05,2025-05-11,Display,0.325
PR0038,P0071,S03,2025-05-25,2025-06-03,Display,0.21
PR0039,P0046,S03,2025-05-14,2025-05-22,Display,0.19
PR0040,P0093,S04,2025-06-13,2025-06-19,Bundle,0.144
PR0041,P0006,S05,2025-04-24,2025-04-29,Discount,0.128
PR0042,P0075,S05,2025-08-02,2025-08-09,Buy1Get1,0.109
PR0043,P0030,S04,2025-10-19,2025-10-25,Display,0.215
PR0044,P0088,S03,2025-05-12,2025-05-22,Display,0.188
