date,store_id,product_id,units_sold,unit_price,promotion_discount,sales_revenue,high_demand_flag
2025-01-01,S01,P0001,20,2.41,0.0,48.2,0
2025-01-02,S01,P0001,25,2.41,0.0,60.25,0
2025-01-03,S01,P0001,16,2.41,0.0,38.56,0
2025-01-04,S01,P0001,27,2.41,0.0,65.07,0
2025-01-05,S01,P0001,32,2.41,0.0,77.12,0
2025-01-06,S01,P0001,17,2.41,0.0,40.97,0
2025-01-07,S01,P0001,24,2.41,0.192,46.73,0
2025-01-08,S01,P0001,26,2.41,0.192,50.63,0
2025-01-09,S01,P0001,29,2.41,0.192,56.47,0
2025-01-10,S01,P0001,24,2.41,0.192,46.73,0
2025-01-11,S01,P0001,33,2.41,0.192,64.26,0
2025-01-12,S01,P0001,28,2.41,0.192,54.52,0
2025-01-13,S01,P0001,29,2.41,0.192,56.47,0
2025-01-14,S01,P0001,24,2.41,0.0,57.84,0
2025-01-15,S01,P0001,19,2.41,0.0,45.79,0
2025-01-16,S01,P0001,25,2.41,0.0,60.25,0
2025-01-17,S01,P0001,16,2.41,0.0,38.56,0
2025-01-18,S01,P0001,23,2.41,0.0,55.43,0
2025-01-19,S01,P0001,24,2.41,0.0,57.84,0
2025-01-20,S01,P0001,23,2.41,0.0,55.43,0
2025-01-21,S01,P0001,15,2.41,0.0,36.15,0
2025-01-22,S01,P0001,11,2.41,0.0,26.51,0
2025-01-23,S01,P0001,21,2.41,0.0,50.61,0
2025-01-24,S01,P0001,28,2.41,0.0,67.48,0
2025-01-25,S01,P0001,24,2.41,0.0,57.84,0
2025-01-26,S01,P0001,21,2.41,0.0,50.61,0
2025-01-27,S01,P0001,27,2.41,0.0,65.07,0
2025-01-28,S01,P0001,26,2.41,0.0,62.66,0
2025-01-29,S01,P0001,27,2.41,0.0,65.07,0
2025-01-30,S01,P0001,21,2.41,0.0,50.61,0
2025-01-31,S01,P0001,29,2.41,0.0,69.89,0
2025-02-01,S01,P0001,25,2.41,0.0,60.25,0
2025-02-02,S01,P0001,25,2.41,0.0,60.25,0
2025-02-03,S01,P0001,26,2.41,0.0,62.66,0
2025-02-04,S01,P0001,30,2.41,0.0,72.3,0
2025-02-05,S01,P0001,16,2.41,0.0,38.56,0
2025-02-06,S01,P0001,27,2.41,0.0,65.07,0
2025-02-07,S01,P0001,27,2.41,0.0,65.07,0
2025-02-08,S01,P0001,28,2.41,0.0,67.48,0
2025-02-09,S01,P0001,25,2.41,0.0,60.25,0
2025-02-10,S01,P0001,31,2.41,0.0,74.71,0
2025-02-11,S01,P0001,22,2.41,0.0,53.02,0
2025-02-12,S01,P0001,19,2.41,0.0,45.79,0
2025-02-13,S01,P0001,20,2.41,0.0,48.2,0
2025-02-14,S01,P0001,32,2.41,0.0,77.12,1
2025-02-15,S01,P0001,30,2.41,0.0,72.3,0
2025-02-16,S01,P0001,34,2.41,0.0,81.94,0
2025-02-17,S01,P0001,31,2.41,0.0,74.71,0
2025-02-18,S01,P0001,21,2.41,0.0,50.61,0
2025-02-19,S01,P0001,19,2.41,0.0,45.79,0
2025-02-20,S01,P0001,23,2.41,0.0,55.43,0
2025-02-21,S01,P0001,17,2.41,0.0,40.97,0
2025-02-22,S01,P0001,40,2.41,0.0,96.4,1
2025-02-23,S01,P0001,29,2.41,0.0,69.89,0
2025-02-24,S01,P0001,37,2.41,0.0,89.17,1
2025-02-25,S01,P0001,24,2.41,0.0,57.84,0
2025-02-26,S01,P0001,21,2.41,0.0,50.61,0
2025-02-27,S01,P0001,26,2.41,0.0,62.66,0
2025-02-28,S01,P0001,13,2.41,0.0,31.33,0
2025-03-01,S01,P0001,37,2.41,0.0,89.17,0
2025-03-02,S01,P0001,22,2.41,0.0,53.02,0
