date,store_id,product_id,opening_stock,units_sold,received_qty,closing_stock,available_stock,stockout_flag
2025-01-01,S01,P0001,194,20,0,174,0,0
2025-01-02,S01,P0001,174,25,0,149,0,0
2025-01-03,S01,P0001,149,16,0,133,0,0
2025-01-04,S01,P0001,133,27,0,106,0,0
2025-01-05,S01,P0001,106,32,0,74,0,0
2025-01-06,S01,P0001,74,17,0,57,0,0
2025-01-07,S01,P0001,57,24,233,266,54,0
2025-01-08,S01,P0001,266,26,0,240,28,0
2025-01-09,S01,P0001,240,29,0,211,0,0
2025-01-10,S01,P0001,211,24,0,187,0,0
2025-01-11,S01,P0001,187,33,0,154,0,0
2025-01-12,S01,P0001,154,28,0,126,0,0
2025-01-13,S01,P0001,126,29,0,97,0,0
2025-01-14,S01,P0001,97,24,0,73,0,0
2025-01-15,S01,P0001,73,19,0,54,0,0
2025-01-16,S01,P0001,54,25,237,266,54,0
2025-01-17,S01,P0001,266,16,0,250,38,0
2025-01-18,S01,P0001,250,23,0,227,15,0
2025-01-19,S01,P0001,227,24,0,203,0,0
2025-01-20,S01,P0001,203,23,0,180,0,0
2025-01-21,S01,P0001,180,15,0,165,0,0
2025-01-22,S01,P0001,165,11,0,154,0,0
2025-01-23,S01,P0001,154,21,0,133,0,0
2025-01-24,S01,P0001,133,28,0,105,0,0
2025-01-25,S01,P0001,105,24,0,81,0,0
2025-01-26,S01,P0001,81,21,0,60,0,0
2025-01-27,S01,P0001,60,27,233,266,54,0
2025-01-28,S01,P0001,266,26,0,240,28,0
2025-01-29,S01,P0001,240,27,0,213,1,0
2025-01-30,S01,P0001,213,21,0,192,0,0
2025-01-31,S01,P0001,192,29,0,163,0,0
2025-02-01,S01,P0001,163,25,0,138,0,0
2025-02-02,S01,P0001,138,25,0,113,0,0
2025-02-03,S01,P0001,113,26,0,87,0,0
2025-02-04,S01,P0001,87,30,0,57,0,0
2025-02-05,S01,P0001,57,16,225,266,54,0
2025-02-06,S01,P0001,266,27,0,239,27,0
2025-02-07,S01,P0001,239,27,0,212,0,0
2025-02-08,S01,P0001,212,28,0,184,0,0
2025-02-09,S01,P0001,184,25,0,159,0,0
2025-02-10,S01,P0001,159,31,0,128,0,0
2025-02-11,S01,P0001,128,22,0,106,0,0
2025-02-12,S01,P0001,106,19,0,87,0,0
2025-02-13,S01,P0001,87,20,0,67,0,0
2025-02-14,S01,P0001,67,32,231,266,54,0
2025-02-15,S01,P0001,266,30,0,236,24,0
2025-02-16,S01,P0001,236,34,0,202,0,0
2025-02-17,S01,P0001,202,31,0,171,0,0
2025-02-18,S01,P0001,171,21,0,150,0,0
2025-02-19,S01,P0001,150,19,0,131,0,0
2025-02-20,S01,P0001,131,23,0,108,0,0
2025-02-21,S01,P0001,108,17,0,91,0,0
2025-02-22,S01,P0001,91,40,0,51,0,0
2025-02-23,S01,P0001,51,29,244,266,54,0
2025-02-24,S01,P0001,266,37,0,229,17,0
2025-02-25,S01,P0001,229,24,0,205,0,0
2025-02-26,S01,P0001,205,21,0,184,0,0
2025-02-27,S01,P0001,184,26,0,158,0,0
2025-02-28,S01,P0001,158,13,0,145,0,0
2025-03-01,S01,P0001,145,37,0,108,0,0
2025-03-02,S01,P0001,108,22,0,86,0,0
2025-03-03,S01,P0001,86,27,0,59,0,0
2025-03-04,S01,P0001,59,20,227,266,54,0
2025-03-05,S01,P0001,266,22,0,244,32,0
2025-03-06,S01,P0001,244,26,0,218,6,0
2025-03-07,S01,P0001,218,21,0,197,0,0
2025-03-08,S01,P0001,197,32,0,165,0,0
2025-03-09,S01,P0001,165,29,0,136,0,0
2025-03-10,S01,P0001,136,26,0,110,0,0
2025-03-11,S01,P0001,110,27,0,83,0,0
2025-03-12,S01,P0001,83,34,0,49,0,0
2025-03-13,S01,P0001,49,22,239,266,54,0
2025-03-14,S01,P0001,266,33,0,233,21,0
2025-03-15,S01,P0001,233,25,0,208,0,0
2025-03-16,S01,P0001,208,35,0,173,0,0
2025-03-17,S01,P0001,173,25,0,148,0,0
2025-03-18,S01,P0001,148,17,0,131,0,0
2025-03-19,S01,P0001,131,32,0,99,0,0
2025-03-20,S01,P0001,99,22,0,77,0,0
2025-03-21,S01,P0001,77,27,0,50,0,0
2025-03-22,S01,P0001,50,31,247,266,54,0
2025-03-23,S01,P0001,266,21,0,245,33,0
2025-03-24,S01,P0001,245,25,0,220,8,0
2025-03-25,S01,P0001,220,27,0,193,0,0
2025-03-26,S01,P0001,193,28,0,165,0,0
2025-03-27,S01,P0001,165,22,0,143,0,0
2025-03-28,S01,P0001,143,27,0,116,0,0
2025-03-29,S01,P0001,116,32,0,84,0,0
2025-03-30,S01,P0001,84,21,0,63,0,0
2025-03-31,S01,P0001,63,21,224,266,54,0
2025-04-01,S01,P0001,266,32,0,234,22,0
2025-04-02,S01,P0001,234,29,0,205,0,0
2025-04-03,S01,P0001,205,26,0,179,0,0
2025-04-04,S01,P0001,179,20,0,159,0,0
2025-04-05,S01,P0001,159,26,0,133,0,0
2025-04-06,S01,P0001,133,32,0,101,0,0
2025-04-07,S01,P0001,101,34,0,67,0,0
2025-04-08,S01,P0001,67,33,232,266,54,0
2025-04-09,S01,P0001,266,21,0,245,33,0
2025-04-10,S01,P0001,245,30,0,215,3,0
2025-04-11,S01,P0001,215,19,0,196,0,0
2025-04-12,S01,P0001,196,40,0,156,0,0
2025-04-13,S01,P0001,156,30,0,126,0,0
2025-04-14,S01,P0001,126,18,0,108,0,0
2025-04-15,S01,P0001,108,31,0,77,0,0
2025-04-16,S01,P0001,77,27,0,50,0,0
2025-04-17,S01,P0001,50,22,238,266,54,0
2025-04-18,S01,P0001,266,29,0,237,25,0
2025-04-19,S01,P0001,237,29,0,208,0,0
2025-04-20,S01,P0001,208,34,0,174,0,0
2025-04-21,S01,P0001,174,27,0,147,0,0
2025-04-22,S01,P0001,147,31,0,116,0,0
2025-04-23,S01,P0001,116,22,0,94,0,0
2025-04-24,S01,P0001,94,25,0,69,0,0
2025-04-25,S01,P0001,69,24,0,45,0,0
2025-04-26,S01,P0001,45,26,247,266,54,0
2025-04-27,S01,P0001,266,13,0,253,41,0
2025-04-28,S01,P0001,253,29,0,224,12,0
2025-04-29,S01,P0001,224,18,0,206,0,0
2025-04-30,S01,P0001,206,28,0,178,0,0
2025-05-01,S01,P0001,178,26,0,152,0,0
2025-05-02,S01,P0001,152,25,0,127,0,0
2025-05-03,S01,P0001,127,29,0,98,0,0
2025-05-04,S01,P0001,98,34,0,64,0,0
2025-05-05,S01,P0001,64,23,225,266,54,0
2025-05-06,S01,P0001,266,23,0,243,31,0
2025-05-07,S01,P0001,243,18,0,225,13,0
2025-05-08,S01,P0001,225,25,0,200,0,0
2025-05-09,S01,P0001,200,26,0,174,0,0
2025-05-10,S01,P0001,174,41,0,133,0,0
2025-05-11,S01,P0001,133,29,0,104,0,0
2025-05-12,S01,P0001,104,23,0,81,0,0
2025-05-13,S01,P0001,81,22,0,59,0,0
2025-05-14,S01,P0001,59,12,0,47,0,0
2025-05-15,S01,P0001,47,30,249,266,54,0
2025-05-16,S01,P0001,266,23,0,243,31,0
2025-05-17,S01,P0001,243,28,0,215,3,0
2025-05-18,S01,P0001,215,22,0,193,0,0
2025-05-19,S01,P0001,193,22,0,171,0,0
2025-05-20,S01,P0001,171,25,0,146,0,0
2025-05-21,S01,P0001,146,22,0,124,0,0
2025-05-22,S01,P0001,124,23,0,101,0,0
2025-05-23,S01,P0001,101,26,0,75,0,0
2025-05-24,S01,P0001,75,18,0,57,0,0
2025-05-25,S01,P0001,57,39,248,266,54,0
2025-05-26,S01,P0001,266,22,0,244,32,0
2025-05-27,S01,P0001,244,23,0,221,9,0
2025-05-28,S01,P0001,221,33,0,188,0,0
2025-05-29,S01,P0001,188,18,0,170,0,0
2025-05-30,S01,P0001,170,16,0,154,0,0
2025-05-31,S01,P0001,154,19,0,135,0,0
2025-06-01,S01,P0001,135,18,0,117,0,0
2025-06-02,S01,P0001,117,29,0,88,0,0
2025-06-03,S01,P0001,88,28,0,60,0,0
2025-06-04,S01,P0001,60,16,0,44,0,0
2025-06-05,S01,P0001,44,26,248,266,54,0
2025-06-06,S01,P0001,266,19,0,247,35,0
2025-06-07,S01,P0001,247,31,0,216,4,0
2025-06-08,S01,P0001,216,25,0,191,0,0
2025-06-09,S01,P0001,191,29,0,162,0,0
2025-06-10,S01,P0001,162,26,0,136,0,0
2025-06-11,S01,P0001,136,23,0,113,0,0
2025-06-12,S01,P0001,113,20,0,93,0,0
2025-06-13,S01,P0001,93,21,0,72,0,0
2025-06-14,S01,P0001,72,35,229,266,54,0
2025-06-15,S01,P0001,266,24,0,242,30,0
2025-06-16,S01,P0001,242,33,0,209,0,0
2025-06-17,S01,P0001,209,24,0,185,0,0
2025-06-18,S01,P0001,185,19,0,166,0,0
2025-06-19,S01,P0001,166,25,0,141,0,0
2025-06-20,S01,P0001,141,26,0,115,0,0
2025-06-21,S01,P0001,115,18,0,97,0,0
2025-06-22,S01,P0001,97,16,0,81,0,0
2025-06-23,S01,P0001,81,21,0,60,0,0
2025-06-24,S01,P0001,60,20,226,266,54,0
2025-06-25,S01,P0001,266,16,0,250,38,0
2025-06-26,S01,P0001,250,23,0,227,15,0
2025-06-27,S01,P0001,227,14,0,213,1,0
2025-06-28,S01,P0001,213,17,0,196,0,0
2025-06-29,S01,P0001,196,29,0,167,0,0
2025-06-30,S01,P0001,167,20,0,147,0,0
2025-07-01,S01,P0001,147,20,0,127,0,0
2025-07-02,S01,P0001,127,25,0,102,0,0
2025-07-03,S01,P0001,102,20,0,82,0,0
2025-07-04,S01,P0001,82,15,0,67,0,0
2025-07-05,S01,P0001,67,15,0,52,0,0
2025-07-06,S01,P0001,52,18,232,266,54,0
2025-07-07,S01,P0001,266,25,0,241,29,0
2025-07-08,S01,P0001,241,33,0,208,0,0
2025-07-09,S01,P0001,208,18,0,190,0,0
2025-07-10,S01,P0001,190,13,0,177,0,0
2025-07-11,S01,P0001,177,23,0,154,0,0
2025-07-12,S01,P0001,154,24,0,130,0,0
2025-07-13,S01,P0001,130,26,0,104,0,0
2025-07-14,S01,P0001,104,10,0,94,0,0
2025-07-15,S01,P0001,94,20,0,74,0,0
2025-07-16,S01,P0001,74,17,0,57,0,0
2025-07-17,S01,P0001,57,20,229,266,54,0
2025-07-18,S01,P0001,266,22,0,244,32,0
2025-07-19,S01,P0001,244,28,0,216,4,0
2025-07-20,S01,P0001,216,22,0,194,0,0
2025-07-21,S01,P0001,194,23,0,171,0,0
2025-07-22,S01,P0001,171,30,0,141,0,0
