po_id,order_date,store_id,supplier_id,status,total_units,total_cost
PO00001,2025-01-07,S01,SUP002,Received,233,1034.52
PO00002,2025-01-16,S01,SUP006,Received,237,978.81
PO00003,2025-01-27,S01,SUP002,Received,233,1034.52
PO00004,2025-02-05,S01,SUP006,Received,225,929.25
PO00005,2025-02-14,S01,SUP002,Received,231,1025.64
PO00006,2025-02-23,S01,SUP002,Received,244,1083.36
PO00007,2025-03-04,S01,SUP002,Received,227,1007.88
PO00008,2025-03-13,S01,SUP002,Received,239,1061.16
PO00009,2025-03-22,S01,SUP002,Received,247,1096.68
PO00010,2025-03-31,S01,SUP006,Received,224,925.12
PO00011,2025-04-08,S01,SUP002,Received,232,1030.08
PO00012,2025-04-17,S01,SUP006,Received,238,982.94
PO00013,2025-04-26,S01,SUP006,Received,247,1020.11
PO00014,2025-05-05,S01,SUP006,Received,225,929.25
PO00015,2025-05-15,S01,SUP006,Received,249,1028.37
PO00016,2025-05-25,S01,SUP006,Received,248,1024.24
PO00017,2025-06-05,S01,SUP002,Received,248,1101.12
PO00018,2025-06-14,S01,SUP002,Received,229,1016.76
PO00019,2025-06-24,S01,SUP002,Received,226,1003.44
PO00020,2025-07-06,S01,SUP006,Received,232,958.16
PO00021,2025-07-17,S01,SUP006,Received,229,945.77
PO00022,2025-07-27,S01,SUP002,Received,230,1021.2
PO00023,2025-08-07,S01,SUP002,Received,236,1047.84
PO00024,2025-08-18,S01,SUP002,Received,224,994.56
PO00025,2025-09-01,S01,SUP006,Received,242,999.46
PO00026,2025-09-15,S01,SUP006,Received,231,954.03
PO00027,2025-09-28,S01,SUP002,Received,231,1025.64
PO00028,2025-10-11,S01,SUP006,Received,231,954.03
PO00029,2025-10-23,S01,SUP006,Received,225,929.25
PO00030,2025-11-04,S01,SUP006,Received,227,937.51
PO00031,2025-11-16,S01,SUP006,Received,252,1040.76
PO00032,2025-11-28,S01,SUP006,Received,228,941.64
PO00033,2025-12-09,S01,SUP002,Received,228,1012.32
PO00034,2025-12-20,S01,SUP002,Received,236,1047.84
PO00035,2025-12-31,S01,SUP002,Received,233,1034.52
PO00036,2025-01-14,S01,SUP008,Received,262,2986.8
PO00037,2025-02-17,S01,SUP005,Received,271,3482.35
PO00038,2025-03-22,S01,SUP005,Received,271,3482.35
PO00039,2025-04-24,S01,SUP007,Received,263,3016.61
PO00040,2025-05-27,S01,SUP005,Received,270,3469.5
PO00041,2025-07-03,S01,SUP005,Received,260,3341.0
PO00042,2025-08-13,S01,SUP008,Received,270,3078.0
PO00043,2025-09-24,S01,SUP005,Received,265,3405.25
PO00044,2025-11-04,S01,SUP005,Received,263,3379.55
PO00045,2025-12-16,S01,SUP007,Received,264,3028.08
PO00046,2025-01-17,S01,SUP007,Received,241,1821.96
PO00047,2025-02-10,S01,SUP007,Received,234,1769.04
PO00048,2025-03-06,S01,SUP009,Received,237,1933.92
PO00049,2025-03-30,S01,SUP003,Received,244,1632.36
PO00050,2025-04-23,S01,SUP003,Received,240,1605.6
PO00051,2025-05-17,S01,SUP009,Received,240,1958.4
PO00052,2025-06-11,S01,SUP003,Received,243,1625.67
PO00053,2025-07-06,S01,SUP007,Received,234,1769.04
PO00054,2025-08-03,S01,SUP003,Received,242,1618.98
PO00055,2025-08-31,S01,SUP007,Received,239,1806.84
PO00056,2025-10-04,S01,SUP007,Received,239,1806.84
PO00057,2025-11-02,S01,SUP007,Received,243,1837.08
PO00058,2025-12-01,S01,SUP003,Received,235,1572.15
PO00059,2025-12-29,S01,SUP003,Received,236,1578.84
PO00060,2025-01-14,S01,SUP006,Received,168,3129.84
PO00061,2025-02-01,S01,SUP006,Received,161,2999.43
PO00062,2025-02-19,S01,SUP006,Received,160,2980.8
PO00063,2025-03-09,S01,SUP006,Received,166,3092.58
PO00064,2025-03-27,S01,SUP006,Received,167,3111.21
PO00065,2025-04-16,S01,SUP006,Received,163,3036.69
PO00066,2025-05-04,S01,SUP006,Received,160,2980.8
PO00067,2025-05-20,S01,SUP006,Received,160,2980.8
PO00068,2025-06-10,S01,SUP006,Received,162,3018.06
PO00069,2025-06-30,S01,SUP006,Received,168,3129.84
PO00070,2025-07-20,S01,SUP006,Received,168,3129.84
PO00071,2025-08-13,S01,SUP006,Received,164,3055.32
PO00072,2025-09-05,S01,SUP006,Received,160,2980.8
PO00073,2025-09-26,S01,SUP006,Received,167,3111.21
PO00074,2025-10-17,S01,SUP006,Received,165,3073.95
PO00075,2025-11-10,S01,SUP006,Received,162,3018.06
PO00076,2025-12-04,S01,SUP006,Received,167,3111.21
PO00077,2025-12-26,S01,SUP006,Received,160,2980.8
PO00078,2025-02-26,S01,SUP004,Received,474,872.16
PO00079,2025-05-13,S01,SUP004,Received,476,875.84
PO00080,2025-08-07,S01,SUP004,Received,474,872.16
PO00081,2025-11-21,S01,SUP004,Received,477,877.68
PO00082,2025-01-14,S01,SUP004,Received,139,3160.86
PO00083,2025-02-07,S01,SUP003,Received,139,2957.92
PO00084,2025-02-28,S01,SUP003,Received,143,3043.04
PO00085,2025-03-20,S01,SUP003,Received,142,3021.76
PO00086,2025-04-10,S01,SUP003,Received,140,2979.2
PO00087,2025-05-03,S01,SUP003,Received,149,3170.72
PO00088,2025-05-24,S01,SUP004,Received,140,3183.6
PO00089,2025-06-14,S01,SUP003,Received,143,3043.04
PO00090,2025-07-09,S01,SUP004,Received,141,3206.34
PO00091,2025-08-02,S01,SUP003,Received,140,2979.2
PO00092,2025-08-31,S01,SUP003,Received,148,3149.44
PO00093,2025-09-27,S01,SUP004,Received,140,3183.6
PO00094,2025-10-27,S01,SUP004,Received,140,3183.6
PO00095,2025-11-22,S01,SUP003,Received,142,3021.76
PO00096,2025-12-13,S01,SUP004,Received,141,3206.34
PO00097,2025-01-02,S01,SUP006,Received,171,2188.8
PO00098,2025-01-11,S01,SUP006,Received,170,2176.0
PO00099,2025-01-22,S01,SUP006,Received,174,2227.2
PO00100,2025-02-01,S01,SUP006,Received,184,2355.2
PO00101,2025-02-11,S01,SUP006,Received,178,2278.4
PO00102,2025-02-21,S01,SUP006,Received,180,2304.0
PO00103,2025-03-03,S01,SUP006,Received,170,2176.0
PO00104,2025-03-11,S01,SUP006,Received,180,2304.0
PO00105,2025-03-19,S01,SUP006,Received,172,2201.6
PO00106,2025-03-28,S01,SUP006,Received,178,2278.4
PO00107,2025-04-07,S01,SUP006,Received,176,2252.8
PO00108,2025-04-17,S01,SUP006,Received,179,2291.2
PO00109,2025-04-26,S01,SUP006,Received,174,2227.2
PO00110,2025-05-06,S01,SUP006,Received,172,2201.6
PO00111,2025-05-17,S01,SUP006,Received,182,2329.6
PO00112,2025-05-27,S01,SUP006,Received,181,2316.8
PO00113,2025-06-06,S01,SUP006,Received,174,2227.2
PO00114,2025-06-15,S01,SUP006,Received,173,2214.4
PO00115,2025-06-25,S01,SUP006,Received,172,2201.6
PO00116,2025-07-05,S01,SUP006,Received,183,2342.4
PO00117,2025-07-14,S01,SUP006,Received,172,2201.6
PO00118,2025-07-24,S01,SUP006,Received,182,2329.6
PO00119,2025-08-05,S01,SUP006,Received,175,2240.0
PO00120,2025-08-16,S01,SUP006,Received,169,2163.2
PO00121,2025-08-29,S01,SUP006,Received,176,2252.8
PO00122,2025-09-10,S01,SUP006,Received,169,2163.2
PO00123,2025-09-23,S01,SUP006,Received,182,2329.6
PO00124,2025-10-05,S01,SUP006,Received,176,2252.8
PO00125,2025-10-18,S01,SUP006,Received,168,2150.4
PO00126,2025-10-30,S01,SUP006,Received,171,2188.8
PO00127,2025-11-11,S01,SUP006,Received,175,2240.0
PO00128,2025-11-23,S01,SUP006,Received,176,2252.8
PO00129,2025-12-05,S01,SUP006,Received,180,2304.0
PO00130,2025-12-16,S01,SUP006,Received,179,2291.2
PO00131,2025-12-28,S01,SUP006,Received,185,2368.0
PO00132,2025-01-12,S01,SUP003,Received,375,2681.25
PO00133,2025-01-31,S01,SUP003,Received,385,2752.75
PO00134,2025-02-18,S01,SUP003,Received,385,2752.75
PO00135,2025-03-07,S01,SUP003,Received,367,2624.05
PO00136,2025-03-24,S01,SUP003,Received,374,2674.1
PO00137,2025-04-10,S01,SUP003,Received,385,2752.75
PO00138,2025-04-27,S01,SUP003,Received,372,2659.8
PO00139,2025-05-14,S01,SUP003,Received,385,2752.75
PO00140,2025-06-01,S01,SUP003,Received,372,2659.8
PO00141,2025-06-18,S01,SUP003,Received,368,2631.2
PO00142,2025-07-06,S01,SUP003,Received,375,2681.25
PO00143,2025-07-25,S01,SUP003,Received,367,2624.05
PO00144,2025-08-13,S01,SUP003,Received,374,2674.1
PO00145,2025-09-02,S01,SUP003,Received,379,2709.85
PO00146,2025-09-23,S01,SUP003,Received,371,2652.65
PO00147,2025-10-17,S01,SUP003,Received,369,2638.35
PO00148,2025-11-08,S01,SUP003,Received,376,2688.4
PO00149,2025-11-29,S01,SUP003,Received,385,2752.75
PO00150,2025-12-20,S01,SUP003,Received,385,2752.75
PO00151,2025-01-11,S01,SUP003,Received,250,837.5
PO00152,2025-01-24,S01,SUP003,Received,234,783.9
PO00153,2025-02-05,S01,SUP003,Received,245,820.75
PO00154,2025-02-17,S01,SUP003,Received,251,840.85
PO00155,2025-03-03,S01,SUP003,Received,246,824.1
PO00156,2025-03-15,S01,SUP003,Received,252,844.2
