po_item_id,po_id,product_id,quantity,unit_cost,line_total
POI000001,PO00001,P0001,233,4.44,1034.52
POI000002,PO00002,P0001,237,4.13,978.81
POI000003,PO00003,P0001,233,4.44,1034.52
POI000004,PO00004,P0001,225,4.13,929.25
POI000005,PO00005,P0001,231,4.44,1025.64
POI000006,PO00006,P0001,244,4.44,1083.36
POI000007,PO00007,P0001,227,4.44,1007.88
POI000008,PO00008,P0001,239,4.44,1061.16
POI000009,PO00009,P0001,247,4.44,1096.68
POI000010,PO00010,P0001,224,4.13,925.12
POI000011,PO00011,P0001,232,4.44,1030.08
POI000012,PO00012,P0001,238,4.13,982.94
POI000013,PO00013,P0001,247,4.13,1020.11
POI000014,PO00014,P0001,225,4.13,929.25
POI000015,PO00015,P0001,249,4.13,1028.37
POI000016,PO00016,P0001,248,4.13,1024.24
POI000017,PO00017,P0001,248,4.44,1101.12
POI000018,PO00018,P0001,229,4.44,1016.76
POI000019,PO00019,P0001,226,4.44,1003.44
POI000020,PO00020,P0001,232,4.13,958.16
POI000021,PO00021,P0001,229,4.13,945.77
POI000022,PO00022,P0001,230,4.44,1021.2
POI000023,PO00023,P0001,236,4.44,1047.84
POI000024,PO00024,P0001,224,4.44,994.56
POI000025,PO00025,P0001,242,4.13,999.46
POI000026,PO00026,P0001,231,4.13,954.03
POI000027,PO00027,P0001,231,4.44,1025.64
POI000028,PO00028,P0001,231,4.13,954.03
POI000029,PO00029,P0001,225,4.13,929.25
POI000030,PO00030,P0001,227,4.13,937.51
POI000031,PO00031,P0001,252,4.13,1040.76
POI000032,PO00032,P0001,228,4.13,941.64
POI000033,PO00033,P0001,228,4.44,1012.32
POI000034,PO00034,P0001,236,4.44,1047.84
POI000035,PO00035,P0001,233,4.44,1034.52
POI000036,PO00036,P0002,262,11.4,2986.8
POI000037,PO00037,P0002,271,12.85,3482.35
POI000038,PO00038,P0002,271,12.85,3482.35
POI000039,PO00039,P0002,263,11.47,3016.61
POI000040,PO00040,P0002,270,12.85,3469.5
POI000041,PO00041,P0002,260,12.85,3341.0
POI000042,PO00042,P0002,270,11.4,3078.0
POI000043,PO00043,P0002,265,12.85,3405.25
POI000044,PO00044,P0002,263,12.85,3379.55
POI000045,PO00045,P0002,264,11.47,3028.08
POI000046,PO00046,P0003,241,7.56,1821.96
POI000047,PO00047,P0003,234,7.56,1769.04
POI000048,PO00048,P0003,237,8.16,1933.92
POI000049,PO00049,P0003,244,6.69,1632.36
POI000050,PO00050,P0003,240,6.69,1605.6
POI000051,PO00051,P0003,240,8.16,1958.4
POI000052,PO00052,P0003,243,6.69,1625.67
POI000053,PO00053,P0003,234,7.56,1769.04
POI000054,PO00054,P0003,242,6.69,1618.98
POI000055,PO00055,P0003,239,7.56,1806.84
POI000056,PO00056,P0003,239,7.56,1806.84
POI000057,PO00057,P0003,243,7.56,1837.08
POI000058,PO00058,P0003,235,6.69,1572.15
POI000059,PO00059,P0003,236,6.69,1578.84
POI000060,PO00060,P0004,168,18.63,3129.84
POI000061,PO00061,P0004,161,18.63,2999.43
POI000062,PO00062,P0004,160,18.63,2980.8
POI000063,PO00063,P0004,166,18.63,3092.58
POI000064,PO00064,P0004,167,18.63,3111.21
POI000065,PO00065,P0004,163,18.63,3036.69
POI000066,PO00066,P0004,160,18.63,2980.8
POI000067,PO00067,P0004,160,18.63,2980.8
POI000068,PO00068,P0004,162,18.63,3018.06
POI000069,PO00069,P0004,168,18.63,3129.84
POI000070,PO00070,P0004,168,18.63,3129.84
POI000071,PO00071,P0004,164,18.63,3055.32
POI000072,PO00072,P0004,160,18.63,2980.8
POI000073,PO00073,P0004,167,18.63,3111.21
POI000074,PO00074,P0004,165,18.63,3073.95
POI000075,PO00075,P0004,162,18.63,3018.06
POI000076,PO00076,P0004,167,18.63,3111.21
POI000077,PO00077,P0004,160,18.63,2980.8
POI000078,PO00078,P0005,474,1.84,872.16
POI000079,PO00079,P0005,476,1.84,875.84
POI000080,PO00080,P0005,474,1.84,872.16
POI000081,PO00081,P0005,477,1.84,877.68
POI000082,PO00082,P0006,139,22.74,3160.86
POI000083,PO00083,P0006,139,21.28,2957.92
POI000084,PO00084,P0006,143,21.28,3043.04
POI000085,PO00085,P0006,142,21.28,3021.76
POI000086,PO00086,P0006,140,21.28,2979.2
POI000087,PO00087,P0006,149,21.28,3170.72
POI000088,PO00088,P0006,140,22.74,3183.6
POI000089,PO00089,P0006,143,21.28,3043.04
POI000090,PO00090,P0006,141,22.74,3206.34
POI000091,PO00091,P0006,140,21.28,2979.2
POI000092,PO00092,P0006,148,21.28,3149.44
POI000093,PO00093,P0006,140,22.74,3183.6
POI000094,PO00094,P0006,140,22.74,3183.6
POI000095,PO00095,P0006,142,21.28,3021.76
POI000096,PO00096,P0006,141,22.74,3206.34
POI000097,PO00097,P0007,171,12.8,2188.8
POI000098,PO00098,P0007,170,12.8,2176.0
POI000099,PO00099,P0007,174,12.8,2227.2
POI000100,PO00100,P0007,184,12.8,2355.2
POI000101,PO00101,P0007,178,12.8,2278.4
POI000102,PO00102,P0007,180,12.8,2304.0
