date,store_id,product_id,sales_lag_1,sales_lag_7,rolling_7d_demand,closing_stock,promo_flag,stockout_within_3_days,reorder_point,max_stock
2025-01-08,S01,P0001,24.0,20.0,23.0,240,1,0,42,266
2025-01-09,S01,P0001,26.0,25.0,23.857142857142858,211,1,0,42,266
2025-01-10,S01,P0001,29.0,16.0,24.428571428571427,187,1,0,42,266
2025-01-11,S01,P0001,24.0,27.0,25.571428571428573,154,1,0,42,266
2025-01-12,S01,P0001,33.0,32.0,26.428571428571427,126,1,0,42,266
2025-01-13,S01,P0001,28.0,17.0,25.857142857142858,97,1,0,42,266
2025-01-14,S01,P0001,29.0,24.0,27.571428571428573,73,0,0,42,266
2025-01-15,S01,P0001,24.0,26.0,27.571428571428573,54,0,0,42,266
2025-01-16,S01,P0001,19.0,29.0,26.571428571428573,266,0,0,42,266
2025-01-17,S01,P0001,25.0,24.0,26.0,250,0,0,42,266
2025-01-18,S01,P0001,16.0,33.0,24.857142857142858,227,0,0,42,266
2025-01-19,S01,P0001,23.0,28.0,23.428571428571427,203,0,0,42,266
2025-01-20,S01,P0001,24.0,29.0,22.857142857142858,180,0,0,42,266
2025-01-21,S01,P0001,23.0,24.0,22.0,165,0,0,42,266
2025-01-22,S01,P0001,15.0,19.0,20.714285714285715,154,0,0,42,266
2025-01-23,S01,P0001,11.0,25.0,19.571428571428573,133,0,0,42,266
2025-01-24,S01,P0001,21.0,16.0,19.0,105,0,0,42,266
2025-01-25,S01,P0001,28.0,23.0,20.714285714285715,81,0,0,42,266
2025-01-26,S01,P0001,24.0,24.0,20.857142857142858,60,0,0,42,266
2025-01-27,S01,P0001,21.0,23.0,20.428571428571427,266,0,0,42,266
2025-01-28,S01,P0001,27.0,15.0,21.0,240,0,0,42,266
2025-01-29,S01,P0001,26.0,11.0,22.571428571428573,213,0,0,42,266
2025-01-30,S01,P0001,27.0,21.0,24.857142857142858,192,0,0,42,266
2025-01-31,S01,P0001,21.0,28.0,24.857142857142858,163,0,0,42,266
2025-02-01,S01,P0001,29.0,24.0,25.0,138,0,0,42,266
2025-02-02,S01,P0001,25.0,21.0,25.142857142857142,113,0,0,42,266
2025-02-03,S01,P0001,25.0,27.0,25.714285714285715,87,0,0,42,266
2025-02-04,S01,P0001,26.0,26.0,25.571428571428573,57,0,0,42,266
2025-02-05,S01,P0001,30.0,27.0,26.142857142857142,266,0,0,42,266
2025-02-06,S01,P0001,16.0,21.0,24.571428571428573,239,0,0,42,266
2025-02-07,S01,P0001,27.0,29.0,25.428571428571427,212,0,0,42,266
2025-02-08,S01,P0001,27.0,25.0,25.142857142857142,184,0,0,42,266
2025-02-09,S01,P0001,28.0,25.0,25.571428571428573,159,0,0,42,266
2025-02-10,S01,P0001,25.0,26.0,25.571428571428573,128,0,0,42,266
2025-02-11,S01,P0001,31.0,30.0,26.285714285714285,106,0,0,42,266
2025-02-12,S01,P0001,22.0,16.0,25.142857142857142,87,0,0,42,266
2025-02-13,S01,P0001,19.0,27.0,25.571428571428573,67,0,0,42,266
2025-02-14,S01,P0001,20.0,27.0,24.571428571428573,266,0,0,42,266
2025-02-15,S01,P0001,32.0,28.0,25.285714285714285,236,0,0,42,266
2025-02-16,S01,P0001,30.0,25.0,25.571428571428573,202,0,0,42,266
2025-02-17,S01,P0001,34.0,31.0,26.857142857142858,171,0,0,42,266
2025-02-18,S01,P0001,31.0,22.0,26.857142857142858,150,0,0,42,266
2025-02-19,S01,P0001,21.0,19.0,26.714285714285715,131,0,0,42,266
2025-02-20,S01,P0001,19.0,20.0,26.714285714285715,108,0,0,42,266
2025-02-21,S01,P0001,23.0,32.0,27.142857142857142,91,0,0,42,266
2025-02-22,S01,P0001,17.0,30.0,25.0,51,0,0,42,266
2025-02-23,S01,P0001,40.0,34.0,26.428571428571427,266,0,0,42,266
2025-02-24,S01,P0001,29.0,31.0,25.714285714285715,229,0,0,42,266
2025-02-25,S01,P0001,37.0,21.0,26.571428571428573,205,0,0,42,266
2025-02-26,S01,P0001,24.0,19.0,27.0,184,0,0,42,266
2025-02-27,S01,P0001,21.0,23.0,27.285714285714285,158,0,0,42,266
2025-02-28,S01,P0001,26.0,17.0,27.714285714285715,145,0,0,42,266
2025-03-01,S01,P0001,13.0,40.0,27.142857142857142,108,0,0,42,266
2025-03-02,S01,P0001,37.0,29.0,26.714285714285715,86,0,0,42,266
2025-03-03,S01,P0001,22.0,37.0,25.714285714285715,59,0,0,42,266
2025-03-04,S01,P0001,27.0,24.0,24.285714285714285,266,0,0,42,266
2025-03-05,S01,P0001,20.0,21.0,23.714285714285715,244,0,0,42,266
2025-03-06,S01,P0001,22.0,26.0,23.857142857142858,218,0,0,42,266
2025-03-07,S01,P0001,26.0,13.0,23.857142857142858,197,0,0,42,266
2025-03-08,S01,P0001,21.0,37.0,25.0,165,0,0,42,266
2025-03-09,S01,P0001,32.0,22.0,24.285714285714285,136,0,0,42,266
2025-03-10,S01,P0001,29.0,27.0,25.285714285714285,110,0,0,42,266
2025-03-11,S01,P0001,26.0,20.0,25.142857142857142,83,0,0,42,266
2025-03-12,S01,P0001,27.0,22.0,26.142857142857142,49,0,0,42,266
2025-03-13,S01,P0001,34.0,26.0,27.857142857142858,266,0,0,42,266
2025-03-14,S01,P0001,22.0,21.0,27.285714285714285,233,0,0,42,266
2025-03-15,S01,P0001,33.0,32.0,29.0,208,0,0,42,266
2025-03-16,S01,P0001,25.0,29.0,28.0,173,0,0,42,266
2025-03-17,S01,P0001,35.0,26.0,28.857142857142858,148,0,0,42,266
2025-03-18,S01,P0001,25.0,27.0,28.714285714285715,131,0,0,42,266
2025-03-19,S01,P0001,17.0,34.0,27.285714285714285,99,0,0,42,266
2025-03-20,S01,P0001,32.0,22.0,27.0,77,0,0,42,266
2025-03-21,S01,P0001,22.0,33.0,27.0,50,0,0,42,266
2025-03-22,S01,P0001,27.0,25.0,26.142857142857142,266,0,0,42,266
2025-03-23,S01,P0001,31.0,35.0,27.0,245,0,0,42,266
2025-03-24,S01,P0001,21.0,25.0,25.0,220,0,0,42,266
2025-03-25,S01,P0001,25.0,17.0,25.0,193,0,0,42,266
2025-03-26,S01,P0001,27.0,32.0,26.428571428571427,165,0,0,42,266
2025-03-27,S01,P0001,28.0,22.0,25.857142857142858,143,0,0,42,266
2025-03-28,S01,P0001,22.0,27.0,25.857142857142858,116,0,0,42,266
2025-03-29,S01,P0001,27.0,31.0,25.857142857142858,84,0,0,42,266
2025-03-30,S01,P0001,32.0,21.0,26.0,63,0,0,42,266
2025-03-31,S01,P0001,21.0,25.0,26.0,266,0,0,42,266
2025-04-01,S01,P0001,21.0,27.0,25.428571428571427,234,0,0,42,266
2025-04-02,S01,P0001,32.0,28.0,26.142857142857142,205,0,0,42,266
2025-04-03,S01,P0001,29.0,22.0,26.285714285714285,179,0,0,42,266
2025-04-04,S01,P0001,26.0,27.0,26.857142857142858,159,0,0,42,266
2025-04-05,S01,P0001,20.0,32.0,25.857142857142858,133,0,0,42,266
2025-04-06,S01,P0001,26.0,21.0,25.0,101,0,0,42,266
2025-04-07,S01,P0001,32.0,21.0,26.571428571428573,67,0,0,42,266
2025-04-08,S01,P0001,34.0,32.0,28.428571428571427,266,0,0,42,266
2025-04-09,S01,P0001,33.0,29.0,28.571428571428573,245,0,0,42,266
2025-04-10,S01,P0001,21.0,26.0,27.428571428571427,215,0,0,42,266
2025-04-11,S01,P0001,30.0,20.0,28.0,196,0,0,42,266
2025-04-12,S01,P0001,19.0,26.0,27.857142857142858,156,0,0,42,266
2025-04-13,S01,P0001,40.0,32.0,29.857142857142858,126,0,0,42,266
2025-04-14,S01,P0001,30.0,34.0,29.571428571428573,108,0,0,42,266
2025-04-15,S01,P0001,18.0,33.0,27.285714285714285,77,0,0,42,266
2025-04-16,S01,P0001,31.0,21.0,27.0,50,0,0,42,266
2025-04-17,S01,P0001,27.0,30.0,27.857142857142858,266,0,0,42,266
2025-04-18,S01,P0001,22.0,19.0,26.714285714285715,237,0,0,42,266
2025-04-19,S01,P0001,29.0,40.0,28.142857142857142,208,0,0,42,266
2025-04-20,S01,P0001,29.0,30.0,26.571428571428573,174,0,0,42,266
2025-04-21,S01,P0001,34.0,18.0,27.142857142857142,147,0,0,42,266
2025-04-22,S01,P0001,27.0,31.0,28.428571428571427,116,0,0,42,266
2025-04-23,S01,P0001,31.0,27.0,28.428571428571427,94,0,0,42,266
2025-04-24,S01,P0001,22.0,22.0,27.714285714285715,69,0,0,42,266
2025-04-25,S01,P0001,25.0,29.0,28.142857142857142,45,0,0,42,266
2025-04-26,S01,P0001,24.0,29.0,27.428571428571427,266,0,0,42,266
2025-04-27,S01,P0001,26.0,34.0,27.0,253,0,0,42,266
2025-04-28,S01,P0001,13.0,27.0,24.0,224,0,0,42,266
2025-04-29,S01,P0001,29.0,31.0,24.285714285714285,206,0,0,42,266
2025-04-30,S01,P0001,18.0,22.0,22.428571428571427,178,0,0,42,266
2025-05-01,S01,P0001,28.0,25.0,23.285714285714285,152,0,0,42,266
2025-05-02,S01,P0001,26.0,24.0,23.428571428571427,127,0,0,42,266
2025-05-03,S01,P0001,25.0,26.0,23.571428571428573,98,0,0,42,266
2025-05-04,S01,P0001,29.0,13.0,24.0,64,0,0,42,266
2025-05-05,S01,P0001,34.0,29.0,27.0,266,0,0,42,266
2025-05-06,S01,P0001,23.0,18.0,26.142857142857142,243,0,0,42,266
2025-05-07,S01,P0001,23.0,28.0,26.857142857142858,225,0,0,42,266
2025-05-08,S01,P0001,18.0,26.0,25.428571428571427,200,0,0,42,266
2025-05-09,S01,P0001,25.0,25.0,25.285714285714285,174,0,0,42,266
2025-05-10,S01,P0001,26.0,29.0,25.428571428571427,133,0,0,42,266
2025-05-11,S01,P0001,41.0,34.0,27.142857142857142,104,0,0,42,266
2025-05-12,S01,P0001,29.0,23.0,26.428571428571427,81,0,0,42,266
2025-05-13,S01,P0001,23.0,23.0,26.428571428571427,59,0,0,42,266
2025-05-14,S01,P0001,22.0,18.0,26.285714285714285,47,0,0,42,266
2025-05-15,S01,P0001,12.0,25.0,25.428571428571427,266,0,0,42,266
2025-05-16,S01,P0001,30.0,26.0,26.142857142857142,243,0,0,42,266
2025-05-17,S01,P0001,23.0,41.0,25.714285714285715,215,0,0,42,266
2025-05-18,S01,P0001,28.0,29.0,23.857142857142858,193,0,0,42,266
