batch_id,product_id,store_id,batch_number,received_date,manufacturing_date,expiry_date,initial_quantity,remaining_quantity,unit_cost,status
BATCH-000001,P0001,S01,P0001-S01-CURRENT,2025-12-31,2025-12-24,2026-12-24,266,266,3.92,active
BATCH-000002,P0001,S01,P0001-S01-HIST,2025-01-01,2024-12-25,2025-12-25,194,0,3.92,depleted
BATCH-000003,P0002,S01,P0002-S01-CURRENT,2025-12-31,2025-12-27,2026-02-10,174,174,12.88,active
BATCH-000004,P0002,S01,P0002-S01-HIST,2025-01-01,2024-12-28,2025-02-11,119,0,12.88,depleted
BATCH-000005,P0003,S01,P0003-S01-CURRENT,2025-12-31,2025-12-25,2026-02-23,231,231,7.31,active
BATCH-000006,P0003,S01,P0003-S01-HIST,2025-01-01,2024-12-26,2025-02-24,150,0,7.31,depleted
BATCH-000007,P0004,S01,P0004-S01-CURRENT,2025-12-31,2025-12-24,2026-03-24,157,157,18.38,active
BATCH-000008,P0004,S01,P0004-S01-HIST,2025-01-01,2024-12-25,2025-03-25,142,0,18.38,depleted
BATCH-000009,P0005,S01,P0005-S01-CURRENT,2025-12-31,2025-12-25,2026-02-23,294,294,1.62,active
BATCH-000010,P0005,S01,P0005-S01-HIST,2025-01-01,2024-12-26,2025-02-24,327,0,1.62,depleted
BATCH-000011,P0006,S01,P0006-S01-CURRENT,2025-12-31,2025-12-25,2026-02-23,69,69,20.94,active
BATCH-000012,P0006,S01,P0006-S01-HIST,2025-01-01,2024-12-26,2025-02-24,141,0,20.94,depleted
BATCH-000013,P0007,S01,P0007-S01-CURRENT,2025-12-31,2025-12-24,2026-12-24,175,175,11.83,active
BATCH-000014,P0007,S01,P0007-S01-HIST,2025-01-01,2024-12-25,2025-12-25,78,0,11.83,depleted
BATCH-000015,P0008,S01,P0008-S01-CURRENT,2025-12-31,2025-12-24,2026-06-22,176,176,7.06,active
BATCH-000016,P0008,S01,P0008-S01-HIST,2025-01-01,2024-12-25,2025-06-23,256,0,7.06,depleted
BATCH-000017,P0009,S01,P0009-S01-CURRENT,2025-12-31,2025-12-24,2026-06-22,253,253,3.92,active
BATCH-000018,P0009,S01,P0009-S01-HIST,2025-01-01,2024-12-25,2025-06-23,208,0,3.92,depleted
BATCH-000019,P0010,S01,P0010-S01-CURRENT,2025-12-31,2025-12-28,2026-01-27,115,115,12.59,active
BATCH-000020,P0010,S01,P0010-S01-HIST,2025-01-01,2024-12-29,2025-01-28,79,0,12.59,depleted
BATCH-000021,P0011,S01,P0011-S01-CURRENT,2025-12-31,2025-12-25,2026-02-23,140,140,15.1,active
BATCH-000022,P0011,S01,P0011-S01-HIST,2025-01-01,2024-12-26,2025-02-24,252,0,15.1,depleted
BATCH-000023,P0012,S01,P0012-S01-CURRENT,2025-12-31,2025-12-28,2026-01-27,251,251,7.69,active
BATCH-000024,P0012,S01,P0012-S01-HIST,2025-01-01,2024-12-29,2025-01-28,191,0,7.69,depleted
BATCH-000025,P0013,S01,P0013-S01-CURRENT,2025-12-31,2025-12-25,2026-02-23,322,322,12.94,active
BATCH-000026,P0013,S01,P0013-S01-HIST,2025-01-01,2024-12-26,2025-02-24,355,0,12.94,depleted
BATCH-000027,P0014,S01,P0014-S01-CURRENT,2025-12-31,2025-12-25,2026-02-23,13,13,3.24,active
BATCH-000028,P0014,S01,P0014-S01-HIST,2025-01-01,2024-12-26,2025-02-24,129,0,3.24,depleted
BATCH-000029,P0015,S01,P0015-S01-CURRENT,2025-12-31,2025-12-24,2026-03-24,209,209,19.26,active
BATCH-000030,P0015,S01,P0015-S01-HIST,2025-01-01,2024-12-25,2025-03-25,182,0,19.26,depleted
BATCH-000031,P0016,S01,P0016-S01-CURRENT,2025-12-31,2025-12-24,2026-12-24,164,164,5.43,active
BATCH-000032,P0016,S01,P0016-S01-HIST,2025-01-01,2024-12-25,2025-12-25,153,0,5.43,depleted
BATCH-000033,P0017,S01,P0017-S01-CURRENT,2025-12-31,2025-12-27,2026-02-10,39,39,8.78,active
BATCH-000034,P0017,S01,P0017-S01-HIST,2025-01-01,2024-12-28,2025-02-11,49,0,8.78,depleted
BATCH-000035,P0018,S01,P0018-S01-CURRENT,2025-12-31,2025-12-24,2026-12-24,251,251,2.24,active
BATCH-000036,P0018,S01,P0018-S01-HIST,2025-01-01,2024-12-25,2025-12-25,127,0,2.24,depleted
BATCH-000037,P0019,S01,P0019-S01-CURRENT,2025-12-31,2025-12-28,2026-01-27,175,175,20.28,active
BATCH-000038,P0019,S01,P0019-S01-HIST,2025-01-01,2024-12-29,2025-01-28,120,0,20.28,depleted
BATCH-000039,P0020,S01,P0020-S01-CURRENT,2025-12-31,2025-12-28,2026-01-27,235,235,16.51,active
BATCH-000040,P0020,S01,P0020-S01-HIST,2025-01-01,2024-12-29,2025-01-28,205,0,16.51,depleted
BATCH-000041,P0021,S01,P0021-S01-CURRENT,2025-12-31,2025-12-25,2026-02-23,131,131,11.49,active
BATCH-000042,P0021,S01,P0021-S01-HIST,2025-01-01,2024-12-26,2025-02-24,291,0,11.49,depleted
BATCH-000043,P0022,S01,P0022-S01-CURRENT,2025-12-31,2025-12-28,2026-01-27,228,228,24.98,active
BATCH-000044,P0022,S01,P0022-S01-HIST,2025-01-01,2024-12-29,2025-01-28,90,0,24.98,depleted
BATCH-000045,P0023,S01,P0023-S01-CURRENT,2025-12-31,2025-12-24,2026-03-24,196,196,4.53,active
BATCH-000046,P0023,S01,P0023-S01-HIST,2025-01-01,2024-12-25,2025-03-25,149,0,4.53,depleted
BATCH-000047,P0024,S01,P0024-S01-CURRENT,2025-12-31,2025-12-25,2026-02-23,324,324,18.1,active
BATCH-000048,P0024,S01,P0024-S01-HIST,2025-01-01,2024-12-26,2025-02-24,152,0,18.1,depleted
BATCH-000049,P0025,S01,P0025-S01-CURRENT,2025-12-31,2025-12-24,2026-06-22,310,310,14.81,active
BATCH-000050,P0025,S01,P0025-S01-HIST,2025-01-01,2024-12-25,2025-06-23,126,0,14.81,depleted
BATCH-000051,P0026,S01,P0026-S01-CURRENT,2025-12-31,2025-12-24,2026-06-22,243,243,21.61,active
BATCH-000052,P0026,S01,P0026-S01-HIST,2025-01-01,2024-12-25,2025-06-23,238,0,21.61,depleted
BATCH-000053,P0027,S01,P0027-S01-CURRENT,2025-12-31,2025-12-25,2026-02-23,175,175,14.8,active
BATCH-000054,P0027,S01,P0027-S01-HIST,2025-01-01,2024-12-26,2025-02-24,317,0,14.8,depleted
BATCH-000055,P0028,S01,P0028-S01-CURRENT,2025-12-31,2025-12-25,2026-02-23,192,192,16.96,active
BATCH-000056,P0028,S01,P0028-S01-HIST,2025-01-01,2024-12-26,2025-02-24,207,0,16.96,depleted
BATCH-000057,P0029,S01,P0029-S01-CURRENT,2025-12-31,2025-12-27,2026-02-10,74,74,23.36,active
BATCH-000058,P0029,S01,P0029-S01-HIST,2025-01-01,2024-12-28,2025-02-11,64,0,23.36,depleted
BATCH-000059,P0030,S01,P0030-S01-CURRENT,2025-12-31,2025-12-24,2026-12-24,185,185,20.52,active
BATCH-000060,P0030,S01,P0030-S01-HIST,2025-01-01,2024-12-25,2025-12-25,66,0,20.52,depleted
BATCH-000061,P0031,S01,P0031-S01-CURRENT,2025-12-31,2025-12-27,2026-02-10,45,45,15.32,active
